event_id,timestamp,user_id,username,role,department,privilege_level,record_limit,records_accessed,access_type,device_type,location,session_duration_min,external_emails_sent,off_hours_access,bulk_download_flag,unauthorized_access,usb_connected,failed_auth_attempts,vpn_usage,is_malicious,hour,day_of_week,is_weekend,avg_records_per_session,max_records_session,total_events,off_hours_ratio,bulk_download_ratio,external_email_ratio,avg_session_duration,usb_usage_count,failed_auth_ratio,unique_access_types,vpn_ratio,weekend_access_ratio,unauthorized_ratio,external_email_count,records_over_limit,session_anomaly_score,after_midnight,privilege_risk,device_risk,location_risk,access_type_risk
EVT001591,2024-01-01 00:08:18,USR0057,thompsonmaxwell,Receptionist,Administration,low,5,3,export,external_usb,unknown,26,0,1,0,0,1,7,0,1,0,0,0,6.8493150684931505,20,73,0.726027397260274,0.1506849315068493,0.3972602739726027,16.84931506849315,41,1.6575342465753424,6,0.2054794520547945,0.2465753424657534,0.3835616438356164,263,0.6,0,1,0.2,1.0,1.0,0.9
EVT003682,2024-01-01 02:12:05,USR0139,tbowen,Doctor,Pediatrics,high,20,18,download,workstation,unknown,17,0,1,1,0,0,3,0,1,2,0,0,25.054545454545455,80,55,0.6181818181818182,0.509090909090909,0.21818181818181817,17.636363636363637,28,1.3636363636363635,6,0.16363636363636364,0.2909090909090909,0.38181818181818183,111,0.9,0,1,1.0,0.1,1.0,0.8
EVT003727,2024-01-01 05:57:47,USR0139,tbowen,Doctor,Pediatrics,high,20,14,print,workstation,vpn,15,0,1,0,0,0,4,1,1,5,0,0,25.054545454545455,80,55,0.6181818181818182,0.509090909090909,0.21818181818181817,17.636363636363637,28,1.3636363636363635,6,0.16363636363636364,0.2909090909090909,0.38181818181818183,111,0.7,0,0,1.0,0.1,0.4,0.5
EVT002214,2024-01-01 07:01:01,USR0076,robertallen,Doctor,Administration,high,20,18,view,workstation,office,106,0,0,0,0,0,1,0,0,7,0,0,10.0,20,27,0.3333333333333333,0.037037037037037035,0.0,66.5925925925926,1,0.6296296296296297,5,0.14814814814814814,0.3333333333333333,0.0,0,0.9,0,0,1.0,0.1,0.1,0.1
EVT001899,2024-01-01 07:05:31,USR0065,cgriffith,Receptionist,Administration,low,5,5,edit,tablet,office,35,0,0,0,0,0,1,0,0,7,0,0,2.878787878787879,5,33,0.24242424242424243,0.0,0.0,78.42424242424242,1,0.5454545454545454,5,0.12121212121212122,0.24242424242424243,0.0,0,1.0,0,0,0.2,0.5,0.1,0.3
EVT000173,2024-01-01 07:19:29,USR0007,angela84,Nurse,Neurology,medium,15,11,edit,workstation,office,44,0,0,0,0,0,0,0,0,7,0,0,8.0,15,36,0.4444444444444444,0.027777777777777776,0.0,70.91666666666667,0,0.3888888888888889,4,0.16666666666666666,0.4444444444444444,0.0,0,0.7333333333333333,0,0,0.5,0.1,0.1,0.3
EVT003248,2024-01-01 07:43:47,USR0120,buchananelizabeth,Admin,Administration,high,50,36,view,laptop,office,53,0,0,0,0,0,1,0,0,7,0,0,27.84,50,25,0.12,0.0,0.0,66.12,0,0.44,4,0.24,0.12,0.0,0,0.72,0,0,1.0,0.3,0.1,0.1
EVT002401,2024-01-01 08:11:00,USR0084,annjordan,Doctor,IT,high,20,10,download,mobile,office,35,0,0,0,0,0,1,0,0,8,0,0,10.766666666666667,20,30,0.26666666666666666,0.03333333333333333,0.0,72.43333333333334,1,0.43333333333333335,5,0.06666666666666667,0.26666666666666666,0.0,0,0.5,0,0,1.0,0.7,0.1,0.8
EVT002511,2024-01-01 08:26:20,USR0088,williamsandrew,Nurse,Cardiology,medium,15,6,export,laptop,office,67,0,0,0,0,0,1,0,0,8,0,0,8.606060606060606,15,33,0.3333333333333333,0.030303030303030304,0.0,63.21212121212121,1,0.5757575757575758,6,0.09090909090909091,0.3333333333333333,0.0,0,0.4,0,0,0.5,0.3,0.1,0.9
EVT002692,2024-01-01 09:09:02,USR0098,taylorjillian,Receptionist,Oncology,low,5,4,view,workstation,office,45,0,0,0,0,0,0,0,0,9,0,0,3.090909090909091,5,22,0.22727272727272727,0.0,0.0,77.5,2,0.4090909090909091,3,0.13636363636363635,0.22727272727272727,0.0,0,0.8,0,0,0.2,0.1,0.1,0.1
EVT002426,2024-01-01 11:15:50,USR0086,desireemendoza,Doctor,Pharmacy,high,20,10,view,workstation,office,43,0,0,0,0,0,0,0,0,11,0,0,11.304347826086957,20,23,0.34782608695652173,0.08695652173913043,0.0,66.1304347826087,0,0.5652173913043478,5,0.043478260869565216,0.34782608695652173,0.0,0,0.5,0,0,1.0,0.1,0.1,0.1
EVT000207,2024-01-01 11:28:23,USR0007,angela84,Nurse,Neurology,medium,15,13,view,workstation,office,72,0,0,0,0,0,1,0,0,11,0,0,8.0,15,36,0.4444444444444444,0.027777777777777776,0.0,70.91666666666667,0,0.3888888888888889,4,0.16666666666666666,0.4444444444444444,0.0,0,0.8666666666666667,0,0,0.5,0.1,0.1,0.1
EVT002866,2024-01-01 11:43:07,USR0105,sherrilyons,Doctor,Administration,high,20,3,download,workstation,office,53,0,0,0,0,0,0,0,0,11,0,0,10.323529411764707,20,34,0.38235294117647056,0.029411764705882353,0.0,67.79411764705883,0,0.5294117647058824,6,0.058823529411764705,0.38235294117647056,0.0,0,0.15,0,0,1.0,0.1,0.1,0.8
EVT001192,2024-01-01 11:44:13,USR0043,wilsonchristopher,Receptionist,Pharmacy,low,5,5,edit,workstation,office,98,0,0,0,0,0,0,0,0,11,0,0,3.238095238095238,5,21,0.2857142857142857,0.0,0.0,74.52380952380952,0,0.47619047619047616,5,0.047619047619047616,0.2857142857142857,0.0,0,1.0,0,0,0.2,0.1,0.1,0.3
